"","Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered","Lat","Long_","Active","Admin2","FIPS","Combined_Key","date"
"8011","Georgia","US","3/22/20 23:45",2,0,0,32.50931999,-84.87142262,0,"Muscogee",13215,"Muscogee, Georgia, US","03-22-2020"
"8012","Georgia","US","3/22/20 23:45",2,0,0,32.36616021,-81.34280942,0,"Effingham",13103,"Effingham, Georgia, US","03-22-2020"
"8013","Georgia","US","3/22/20 23:45",2,0,0,31.45743864,-83.5236119,0,"Tift",13277,"Tift, Georgia, US","03-22-2020"
"8014","Georgia","US","3/22/20 23:45",2,0,0,33.26310031,-84.28013991,0,"Spalding",13255,"Spalding, Georgia, US","03-22-2020"
"8015","Georgia","US","3/22/20 23:45",2,0,0,31.55162306,-83.85090513,0,"Worth",13321,"Worth, Georgia, US","03-22-2020"
"8016","Georgia","US","3/22/20 23:45",2,0,0,34.46589159,-84.46406611,0,"Pickens",13227,"Pickens, Georgia, US","03-22-2020"
"8017","Georgia","US","3/22/20 23:45",2,0,0,32.03650571,-84.19821492,0,"Sumter",13261,"Sumter, Georgia, US","03-22-2020"
"8018","Georgia","US","3/22/20 23:45",2,0,0,31.77527543,-84.44069698,0,"Terrell",13273,"Terrell, Georgia, US","03-22-2020"
"8019","Georgia","US","3/22/20 23:45",2,0,0,33.06882326,-83.24701748,0,"Baldwin",13009,"Baldwin, Georgia, US","03-22-2020"
"8020","Georgia","US","3/22/20 23:45",1,0,0,30.78371028,-82.13951596,0,"Charlton",13049,"Charlton, Georgia, US","03-22-2020"
"8021","Georgia","US","3/22/20 23:45",1,0,0,32.45802497,-83.66879087,0,"Houston",13153,"Houston, Georgia, US","03-22-2020"
"8022","Georgia","US","3/22/20 23:45",1,0,0,33.99148694,-83.71436292,0,"Barrow",13013,"Barrow, Georgia, US","03-22-2020"
"8023","Georgia","US","3/22/20 23:45",1,0,0,33.83749973,-83.43679568,0,"Oconee",13219,"Oconee, Georgia, US","03-22-2020"
"8024","Georgia","US","3/22/20 23:45",1,0,0,31.71612656,-83.62069378,0,"Turner",13287,"Turner, Georgia, US","03-22-2020"
"8025","Georgia","US","3/22/20 23:45",1,0,0,32.80904227,-83.70489165,0,"Bibb",13021,"Bibb, Georgia, US","03-22-2020"
"8026","Georgia","US","3/22/20 23:45",1,0,0,31.16568912,-84.73151117,0,"Miller",13201,"Miller, Georgia, US","03-22-2020"
"8027","Georgia","US","3/22/20 23:45",1,0,0,33.29686567,-85.12886832,0,"Heard",13149,"Heard, Georgia, US","03-22-2020"
"8028","Georgia","US","3/22/20 23:45",1,0,0,34.44244079,-84.16964071,0,"Dawson",13085,"Dawson, Georgia, US","03-22-2020"
"8029","Georgia","US","3/22/20 23:45",1,0,0,33.014289,-83.92097166,0,"Monroe",13207,"Monroe, Georgia, US","03-22-2020"
"8030","Georgia","US","3/22/20 23:45",1,0,0,31.76622818,-84.75732369,0,"Randolph",13243,"Randolph, Georgia, US","03-22-2020"
"8031","Georgia","US","3/22/20 23:45",1,0,0,30.91395822,-82.70432472,0,"Clinch",13065,"Clinch, Georgia, US","03-22-2020"
"8032","Georgia","US","3/22/20 23:45",1,0,0,33.79201475,-82.45024131,0,"Lincoln",13181,"Lincoln, Georgia, US","03-22-2020"
"8033","Georgia","US","3/22/20 23:45",1,0,0,34.57286511,-84.00425681,0,"Lumpkin",13187,"Lumpkin, Georgia, US","03-22-2020"
"8034","Georgia","US","3/22/20 23:45",1,0,0,33.2830945,-83.9543504,0,"Butts",13035,"Butts, Georgia, US","03-22-2020"
"8035","Georgia","US","3/22/20 23:45",1,0,0,34.47197698,-85.34535662,0,"Chattooga",13055,"Chattooga, Georgia, US","03-22-2020"
"8036","Georgia","US","3/22/20 23:45",1,0,0,32.67435595,-83.43078662,0,"Twiggs",13289,"Twiggs, Georgia, US","03-22-2020"
"8037","Colorado","US","3/22/20 23:45",125,0,0,39.76018276,-104.8725695,0,"Denver",8031,"Denver, Colorado, US","03-22-2020"
"8038","Colorado","US","3/22/20 23:45",80,1,0,39.62754308,-106.6933637,0,"Eagle",8037,"Eagle, Colorado, US","03-22-2020"
"8039","Colorado","US","3/22/20 23:45",51,3,0,38.83240149,-104.5251411,0,"El Paso",8041,"El Paso, Colorado, US","03-22-2020"
