"Province_State","Country_Region","Last_Update","Confirmed","Deaths","Recovered","Lat","Long_","Active","Admin2","FIPS","Combined_Key","date"
"Georgia","US","2020-04-11 22:45:33",182,7,0,34.24393976,-84.47431861,0,"Cherokee",13057,"Cherokee, Georgia, US","04-11-2020"
"Georgia","US","2020-04-11 22:45:33",696,33,0,33.94243204,-84.5761255,0,"Cobb",13067,"Cobb, Georgia, US","04-11-2020"
"Georgia","US","2020-04-11 22:45:33",835,13,0,33.76944049,-84.22396017,0,"DeKalb",13089,"DeKalb, Georgia, US","04-11-2020"
"Georgia","US","2020-04-11 22:45:33",1422,50,0,33.79216944,-84.46319413,0,"Fulton",13121,"Fulton, Georgia, US","04-11-2020"
"Georgia","US","2020-04-11 22:45:33",675,18,0,33.96044201,-84.02137802,0,"Gwinnett",13135,"Gwinnett, Georgia, US","04-11-2020"
"Georgia","US","2020-04-12 23:18:00",186,7,0,34.24393976,-84.47431861,179,"Cherokee",13057,"Cherokee, Georgia, US","04-12-2020"
"Georgia","US","2020-04-12 23:18:00",714,33,0,33.94243204,-84.5761255,681,"Cobb",13067,"Cobb, Georgia, US","04-12-2020"
"Georgia","US","2020-04-12 23:18:00",869,14,0,33.76944049,-84.22396017,855,"DeKalb",13089,"DeKalb, Georgia, US","04-12-2020"
"Georgia","US","2020-04-12 23:18:00",1467,50,0,33.79216944,-84.46319413,1417,"Fulton",13121,"Fulton, Georgia, US","04-12-2020"
"Georgia","US","2020-04-12 23:18:00",690,18,0,33.96044201,-84.02137802,672,"Gwinnett",13135,"Gwinnett, Georgia, US","04-12-2020"
"Georgia","US","2020-04-13 23:07:54",198,7,0,34.24393976,-84.47431861,191,"Cherokee",13057,"Cherokee, Georgia, US","04-13-2020"
"Georgia","US","2020-04-13 23:07:54",782,35,0,33.94243204,-84.5761255,747,"Cobb",13067,"Cobb, Georgia, US","04-13-2020"
"Georgia","US","2020-04-13 23:07:54",980,14,0,33.76944049,-84.22396017,966,"DeKalb",13089,"DeKalb, Georgia, US","04-13-2020"
"Georgia","US","2020-04-13 23:07:54",1598,52,0,33.79216944,-84.46319413,1546,"Fulton",13121,"Fulton, Georgia, US","04-13-2020"
"Georgia","US","2020-04-13 23:07:54",739,22,0,33.96044201,-84.02137802,717,"Gwinnett",13135,"Gwinnett, Georgia, US","04-13-2020"
"Georgia","US","2020-04-14 23:33:31",219,7,0,34.24393976,-84.47431861,212,"Cherokee",13057,"Cherokee, Georgia, US","04-14-2020"
"Georgia","US","2020-04-14 23:33:31",895,41,0,33.94243204,-84.5761255,854,"Cobb",13067,"Cobb, Georgia, US","04-14-2020"
"Georgia","US","2020-04-14 23:33:31",1144,15,0,33.76944049,-84.22396017,1129,"DeKalb",13089,"DeKalb, Georgia, US","04-14-2020"
"Georgia","US","2020-04-14 23:33:31",1812,60,0,33.79216944,-84.46319413,1752,"Fulton",13121,"Fulton, Georgia, US","04-14-2020"
"Georgia","US","2020-04-14 23:33:31",815,29,0,33.96044201,-84.02137802,786,"Gwinnett",13135,"Gwinnett, Georgia, US","04-14-2020"
"Georgia","US","2020-04-15 22:56:51",225,8,0,34.24393976,-84.47431861,217,"Cherokee",13057,"Cherokee, Georgia, US","04-15-2020"
"Georgia","US","2020-04-15 22:56:51",924,43,0,33.94243204,-84.5761255,881,"Cobb",13067,"Cobb, Georgia, US","04-15-2020"
"Georgia","US","2020-04-15 22:56:51",1191,15,0,33.76944049,-84.22396017,1176,"DeKalb",13089,"DeKalb, Georgia, US","04-15-2020"
"Georgia","US","2020-04-15 22:56:51",1844,62,0,33.79216944,-84.46319413,1782,"Fulton",13121,"Fulton, Georgia, US","04-15-2020"
"Georgia","US","2020-04-15 22:56:51",852,29,0,33.96044201,-84.02137802,823,"Gwinnett",13135,"Gwinnett, Georgia, US","04-15-2020"
"Georgia","US","2020-04-16 23:30:51",242,8,0,34.24393976,-84.47431861,234,"Cherokee",13057,"Cherokee, Georgia, US","04-16-2020"
"Georgia","US","2020-04-16 23:30:51",990,47,0,33.94243204,-84.5761255,943,"Cobb",13067,"Cobb, Georgia, US","04-16-2020"
"Georgia","US","2020-04-16 23:30:51",1247,18,0,33.76944049,-84.22396017,1229,"DeKalb",13089,"DeKalb, Georgia, US","04-16-2020"
"Georgia","US","2020-04-16 23:30:51",1929,63,0,33.79216944,-84.46319413,1866,"Fulton",13121,"Fulton, Georgia, US","04-16-2020"
"Georgia","US","2020-04-16 23:30:51",896,32,0,33.96044201,-84.02137802,864,"Gwinnett",13135,"Gwinnett, Georgia, US","04-16-2020"
"Georgia","US","2020-04-17 23:30:52",266,8,0,34.24393976,-84.47431861,258,"Cherokee",13057,"Cherokee, Georgia, US","04-17-2020"
"Georgia","US","2020-04-17 23:30:52",1072,51,0,33.94243204,-84.5761255,1021,"Cobb",13067,"Cobb, Georgia, US","04-17-2020"
"Georgia","US","2020-04-17 23:30:52",1349,23,0,33.76944049,-84.22396017,1326,"DeKalb",13089,"DeKalb, Georgia, US","04-17-2020"
"Georgia","US","2020-04-17 23:30:52",2025,73,0,33.79216944,-84.46319413,1952,"Fulton",13121,"Fulton, Georgia, US","04-17-2020"
"Georgia","US","2020-04-17 23:30:52",1017,36,0,33.96044201,-84.02137802,981,"Gwinnett",13135,"Gwinnett, Georgia, US","04-17-2020"
"Georgia","US","2020-04-18 22:32:47",276,8,0,34.24393976,-84.47431861,268,"Cherokee",13057,"Cherokee, Georgia, US","04-18-2020"
"Georgia","US","2020-04-18 22:32:47",1100,51,0,33.94243204,-84.5761255,1049,"Cobb",13067,"Cobb, Georgia, US","04-18-2020"
"Georgia","US","2020-04-18 22:32:47",1396,24,0,33.76944049,-84.22396017,1372,"DeKalb",13089,"DeKalb, Georgia, US","04-18-2020"
"Georgia","US","2020-04-18 22:32:47",2054,74,0,33.79216944,-84.46319413,1980,"Fulton",13121,"Fulton, Georgia, US","04-18-2020"
"Georgia","US","2020-04-18 22:32:47",1050,36,0,33.96044201,-84.02137802,1014,"Gwinnett",13135,"Gwinnett, Georgia, US","04-18-2020"
"Georgia","US","2020-04-19 23:41:01",293,8,0,34.24393976,-84.47431861,285,"Cherokee",13057,"Cherokee, Georgia, US","04-19-2020"
"Georgia","US","2020-04-19 23:41:01",1125,51,0,33.94243204,-84.5761255,1074,"Cobb",13067,"Cobb, Georgia, US","04-19-2020"
"Georgia","US","2020-04-19 23:41:01",1452,24,0,33.76944049,-84.22396017,1428,"DeKalb",13089,"DeKalb, Georgia, US","04-19-2020"
"Georgia","US","2020-04-19 23:41:01",2110,75,0,33.79216944,-84.46319413,2035,"Fulton",13121,"Fulton, Georgia, US","04-19-2020"
"Georgia","US","2020-04-19 23:41:01",1099,38,0,33.96044201,-84.02137802,1061,"Gwinnett",13135,"Gwinnett, Georgia, US","04-19-2020"
"Georgia","US","2020-04-20 23:36:47",317,9,0,34.24393976,-84.47431861,308,"Cherokee",13057,"Cherokee, Georgia, US","04-20-2020"
"Georgia","US","2020-04-20 23:36:47",1196,56,0,33.94243204,-84.5761255,1140,"Cobb",13067,"Cobb, Georgia, US","04-20-2020"
"Georgia","US","2020-04-20 23:36:47",1521,27,0,33.76944049,-84.22396017,1494,"DeKalb",13089,"DeKalb, Georgia, US","04-20-2020"
"Georgia","US","2020-04-20 23:36:47",2198,80,0,33.79216944,-84.46319413,2118,"Fulton",13121,"Fulton, Georgia, US","04-20-2020"
"Georgia","US","2020-04-20 23:36:47",1181,42,0,33.96044201,-84.02137802,1139,"Gwinnett",13135,"Gwinnett, Georgia, US","04-20-2020"
"Georgia","US","2020-04-21 23:30:50",322,10,0,34.24393976,-84.47431861,312,"Cherokee",13057,"Cherokee, Georgia, US","04-21-2020"
"Georgia","US","2020-04-21 23:30:50",1215,59,0,33.94243204,-84.5761255,1156,"Cobb",13067,"Cobb, Georgia, US","04-21-2020"
"Georgia","US","2020-04-21 23:30:50",1534,29,0,33.76944049,-84.22396017,1505,"DeKalb",13089,"DeKalb, Georgia, US","04-21-2020"
"Georgia","US","2020-04-21 23:30:50",2208,82,0,33.79216944,-84.46319413,2126,"Fulton",13121,"Fulton, Georgia, US","04-21-2020"
"Georgia","US","2020-04-21 23:30:50",1222,42,0,33.96044201,-84.02137802,1180,"Gwinnett",13135,"Gwinnett, Georgia, US","04-21-2020"
"Georgia","US","2020-04-22 23:30:53",340,10,0,34.24393976,-84.47431861,330,"Cherokee",13057,"Cherokee, Georgia, US","04-22-2020"
"Georgia","US","2020-04-22 23:30:53",1272,63,0,33.94243204,-84.5761255,1209,"Cobb",13067,"Cobb, Georgia, US","04-22-2020"
"Georgia","US","2020-04-22 23:30:53",1609,31,0,33.76944049,-84.22396017,1578,"DeKalb",13089,"DeKalb, Georgia, US","04-22-2020"
"Georgia","US","2020-04-22 23:30:53",2255,85,0,33.79216944,-84.46319413,2170,"Fulton",13121,"Fulton, Georgia, US","04-22-2020"
"Georgia","US","2020-04-22 23:30:53",1273,46,0,33.96044201,-84.02137802,1227,"Gwinnett",13135,"Gwinnett, Georgia, US","04-22-2020"
"Georgia","US","2020-04-24 03:30:50",365,10,0,34.24393976,-84.47431861,355,"Cherokee",13057,"Cherokee, Georgia, US","04-23-2020"
"Georgia","US","2020-04-24 03:30:50",1326,66,0,33.94243204,-84.5761255,1260,"Cobb",13067,"Cobb, Georgia, US","04-23-2020"
"Georgia","US","2020-04-24 03:30:50",1689,34,0,33.76944049,-84.22396017,1655,"DeKalb",13089,"DeKalb, Georgia, US","04-23-2020"
"Georgia","US","2020-04-24 03:30:50",2436,88,0,33.79216944,-84.46319413,2348,"Fulton",13121,"Fulton, Georgia, US","04-23-2020"
"Georgia","US","2020-04-24 03:30:50",1351,46,0,33.96044201,-84.02137802,1305,"Gwinnett",13135,"Gwinnett, Georgia, US","04-23-2020"
